Variable,Detalle
ID_aux,Identificador único del postulante
CODIGO_UNIV,Código de la universidad donde se matriculó el/la postulante
CODIGO,Código de la carrera donde se matriculó el/la postulante
VIA,Matrícula vía 
,1. Regular
,2. BEA
,3. PACE
,4. +MC (Género)
PREFERENCIA,Preferencia utilizada para la matrícula 
PTJE_POND,Puntaje ponderado con el cuál se matriculó
TIPO_MATRICULA,Postulación de tipo de matrícula
,1. Postulación regular 
,2. Repostulación
,3. Oficio de Sistema 
,4. BEA
,5. Oficio Acuerdo
,6. PACE
,8. Pedagogía
,9. Pedagogía
,10. Pedagogía
,11. Cupos + MC (Género)
